,date,comment,responding
0,2021-04-01,SpaceX is going to put a literal Dogecoin on the literal moon,
1,2021-03-14,I’m getting a Shiba Inu #resistanceisfutile,
2,2021-03-13,"Why are you so dogematic, they ask",
3,2021-03-13,"Origin of Doge Day Afternoon:
The ancient Romans sacrificed a Dogecoin at the beginning of the Doge Days to appease the rage of Sirius, believing that the star was the cause of the hot, sultry weather.",
4,2021-03-13,Doge day afternoon,
5,2021-03-06,Doge spelled backwards is Egod,
6,2021-03-01,Doge meme shield (legendary item),
7,2021-02-14,"If major Dogecoin holders sell most of their coins, it will get my full support. Too much concentration is the only real issue imo.",
8,2021-02-11,"Frodo was the underdoge,
All thought he would fail,
Himself most of all.",
9,2021-02-08,Ð is for Ðogecoin! Instructional video.,
10,2021-02-07, Who let the Doge out ,
11,2021-02-06,The future currency of Earth,
12,2021-02-04,"No highs, no lows, only Doge",
13,2021-02-04,Dogecoin is the people’s crypto,
14,2021-02-04,Doge,
